Temperature	Time
25.52,1.21
25.52,1.81
25.52,2.41
25.52,3.02
25.52,3.62
25.52,4.23
25.51,4.83
25.51,5.43
25.5,6.04
25.51,6.64
25.51,7.25
25.51,7.85
25.52,8.45
25.51,9.06
25.51,9.66
25.5,10.26
25.51,10.87
25.51,11.47
25.51,12.08
25.51,12.68
25.51,13.28
25.51,13.89
25.52,14.49
25.51,15.1
25.51,15.7
25.52,16.3
25.51,16.91
25.48,17.51
25.56,18.12
25.8,18.72
26.19,19.33
26.69,19.93
27.27,20.54
27.95,21.14
28.64,21.75
29.42,22.35
30.22,22.95
31.04,23.56
31.87,24.16
32.75,24.77
33.61,25.37
34.48,25.98
35.4,26.58
36.31,27.19
37.23,27.79
38.18,28.39
39.1,29
40.04,29.6
40.96,30.21
41.88,30.81
42.8,31.42
43.7,32.02
44.63,32.63
45.46,33.23
46.22,33.84
46.81,34.44
47.31,35.04
47.7,35.65
48.04,36.25
48.26,36.86
48.39,37.46
48.46,38.07
48.4,38.67
48.32,39.28
48.16,39.88
47.88,40.49
47.6,41.09
47.27,41.7
46.91,42.3
46.5,42.9
46.08,43.51
45.66,44.11
45.24,44.72
44.79,45.32
44.32,45.93
43.85,46.53
43.36,47.13
42.87,47.74
42.38,48.35
41.9,48.95
41.41,49.55
40.93,50.16
40.46,50.76
39.97,51.37
39.53,51.97
39.09,52.58
38.66,53.18
38.26,53.79
37.85,54.39
37.46,54.99
37.08,55.6
36.72,56.2
36.37,56.81
36,57.41
35.69,58.02
35.39,58.62
35.1,59.23
34.83,59.83
34.59,60.44
34.36,61.04
34.15,61.64
33.91,62.25
33.73,62.85
33.52,63.46
33.35,64.06
33.21,64.67
33.08,65.27
32.95,65.87
32.84,66.48
32.73,67.08
32.64,67.69
32.54,68.29
32.48,68.9
32.42,69.5
32.38,70.11
32.37,70.71
32.36,71.31
32.36,71.92
32.37,72.52
32.41,73.13
32.44,73.73
32.45,74.34
32.54,74.94
32.59,75.55
32.68,76.15
32.8,76.75
32.87,77.36
32.96,77.96
33.1,78.57
33.22,79.17
33.35,79.78
33.48,80.38
33.61,80.99
33.74,81.59
33.87,82.2
34.01,82.8
34.14,83.4
34.27,84.01
34.39,84.61
34.52,85.22
34.64,85.82
34.75,86.43
34.86,87.03
34.96,87.64
35.06,88.24
35.12,88.85
35.19,89.45
35.25,90.05
35.29,90.66
35.32,91.26
35.36,91.87
35.37,92.47
35.4,93.08
35.4,93.68
35.4,94.29
35.37,94.89
35.34,95.5
35.3,96.1
35.27,96.7
35.21,97.31
35.16,97.91
35.1,98.52
35.04,99.12
34.98,99.73
34.91,100.33
34.86,100.93
34.79,101.54
34.73,102.14
34.67,102.75
34.6,103.35
34.55,103.96
34.49,104.56
34.43,105.17
34.39,105.77
34.34,106.37
34.28,106.98
34.25,107.58
34.23,108.19
34.21,108.79
34.21,109.4
34.2,110
34.21,110.61
34.2,111.21
34.2,111.81
34.22,112.42
34.24,113.02
34.25,113.63
34.31,114.23
34.37,114.84
34.37,115.44
34.43,116.05
34.49,116.65
34.53,117.26
34.61,117.86
34.64,118.46
34.7,119.07
34.77,119.67
34.83,120.28
34.88,120.88
34.94,121.49
34.99,122.09
35.04,122.7
35.1,123.3
35.15,123.91
35.19,124.51
35.25,125.11
35.28,125.72
35.33,126.32
35.34,126.93
35.36,127.53
35.4,128.14
35.39,128.74
35.39,129.35
35.39,129.95
35.41,130.56
35.38,131.16
35.38,131.77
35.35,132.37
35.35,132.97
35.33,133.58
35.31,134.18
35.28,134.79
35.23,135.39
35.2,136
35.15,136.6
35.13,137.21
35.07,137.81
35.04,138.41
35.01,139.02
34.97,139.62
34.94,140.23
34.9,140.83
34.87,141.44
34.83,142.04
34.8,142.65
34.78,143.25
34.75,143.86
34.72,144.46
34.69,145.06
34.68,145.67
34.65,146.27
34.63,146.88
34.64,147.48
34.63,148.09
34.62,148.69
34.63,149.3
34.62,149.9
34.64,150.51
34.64,151.11
34.64,151.71
34.67,152.32
34.67,152.92
34.7,153.53
34.71,154.13
34.75,154.74
34.78,155.34
34.81,155.95
34.84,156.55
34.85,157.16
34.9,157.76
34.95,158.36
34.99,158.97
35,159.57
35.05,160.18
35.08,160.78
35.11,161.39
35.14,161.99
35.15,162.6
35.2,163.2
35.22,163.8
35.22,164.41
35.27,165.01
35.3,165.62
35.3,166.22
35.32,166.83
35.34,167.43
35.35,168.04
35.34,168.64
35.38,169.25
35.32,169.85
35.3,170.46
35.31,171.06
35.29,171.66
35.27,172.27
35.23,172.87
35.2,173.48
35.19,174.08
35.16,174.69
35.13,175.29
35.1,175.9
35.03,176.5
35.02,177.1
35.01,177.71
34.97,178.31
34.91,178.92
34.88,179.52
34.87,180.13
34.81,180.73
34.79,181.34
34.77,181.94
